year,month,NEM,BARRA
2018,1,4205,3531
2018,2,4028,3167
2018,3,5733,5228
2018,4,2620,3599
2018,5,3862,6264
2018,6,2109,5104
2018,7,5469,6121
2018,8,6526,6686
2018,9,5341,5676
2018,10,3608,4075
2018,11,4230,3809
2018,12,3013,2790
2017,1,4499,4193
2017,2,4192,4885
2017,3,3605,4823
2017,4,2556,2767
2017,5,4071,5561
2017,6,3398,4717
2017,7,6325,8982
2017,8,5574,7788
2017,9,4706,5815
2017,10,5600,6754
2017,11,4581,5462
2017,12,4072,3900
2016,1,5471,7217
2016,2,4092,5198
2016,3,4310,5740
2016,4,4262,5672
2016,5,5155,7335
2016,6,5417,7537
2016,7,5747,8170
2016,8,3585,8074
2016,9,4738,6347
2016,10,6069,7870
2016,11,3399,3852
2016,12,5512,5897
2015,1,5809,7088
2015,2,4397,5012
2015,3,4003,4724
2015,4,4263,5916
2015,5,4342,5679
2015,6,4508,7213
2015,7,5261,7180
2015,8,4489,6386
2015,9,4524,6223
2015,10,4583,6646
2015,11,5130,5720
2015,12,5542,6155
2014,1,5147,5701
2014,2,4912,5414
2014,3,5164,5937
2014,4,3776,4056
2014,5,5170,8252
2014,6,5575,7642
2014,7,6342,9009
2014,8,4152,6584
2014,9,4918,6721
2014,10,5185,6187
2014,11,4806,5502
2014,12,4636,4587
2013,1,4683,5334
2013,2,5179,6146
2013,3,3840,4613
2013,4,2523,3686
2013,5,4120,5422
2013,6,3971,6539
2013,7,5378,7927
2013,8,5501,8831
2013,9,5814,9263
2013,10,5327,7006
2013,11,7027,8274
2013,12,3862,4126
2012,1,7294,7363
2012,2,3867,4496
2012,3,5049,5502
2012,4,4767,5868
2012,5,3785,5022
2012,6,6146,8129
2012,7,3852,5822
2012,8,4974,7784
2012,9,4447,7633
2012,10,2963,6255
2012,11,3914,5452
2012,12,4316,5158
2011,1,5916,5852
2011,2,5565,7228
2011,3,4606,4502
2011,4,4800,6144
2011,5,3521,4765
2011,6,5891,8784
2011,7,4992,5838
2011,8,5839,7700
2011,9,5765,7637
2011,10,4797,5270
2011,11,5934,7043
2011,12,4968,5432
2010,1,3913,4095
2010,2,3844,4142
2010,3,5066,5858
2010,4,4048,4453
2010,5,4244,4175
2010,6,4040,5116
2010,7,5550,7425
2010,8,4957,5587
2010,9,4337,5223
2010,10,5060,5049
2010,11,5485,4962
2010,12,5507,5154
